ID_ENTITAT,CARREC,GENERE,NOM_COMARCA,NOM_PROVINCIA
24752,Presidenta,dona,Noguera,Lleida
24752,Secretària,dona,Noguera,Lleida
24752,Tresorera,dona,Noguera,Lleida
24752,Vocal 1r,dona,Noguera,Lleida
24752,Vocal 5è,dona,Noguera,Lleida
24752,Vocal 6è,dona,Noguera,Lleida
24752,Vocal 2n,dona,Noguera,Lleida
24752,Vocal 3r,dona,Noguera,Lleida
24752,Vocal 4t,dona,Noguera,Lleida
58686,Tresorera,dona,Vallès Occidental,Barcelona
58686,Secretària,dona,Vallès Occidental,Barcelona
58686,Presidenta,dona,Vallès Occidental,Barcelona
58686,Vicepresidenta,dona,Vallès Occidental,Barcelona
58686,Vocal,dona,Vallès Occidental,Barcelona
58686,Vocal,dona,Vallès Occidental,Barcelona
58686,Vocal,dona,Vallès Occidental,Barcelona
58686,Vocal,dona,Vallès Occidental,Barcelona
58686,Vocal,dona,Vallès Occidental,Barcelona
65970,Secretària,dona,Cerdanya,Girona
65970,Tresorera,dona,Cerdanya,Girona
65970,Presidenta,dona,Cerdanya,Girona
65970,Vicepresident,home,Cerdanya,Girona
26976,Secretària,dona,Montsià,Tarragona
26976,Presidenta,dona,Montsià,Tarragona
26976,Vicepresident,home,Montsià,Tarragona
26976,Vocal,dona,Montsià,Tarragona
26976,Vocal,dona,Montsià,Tarragona
26976,Vocal,dona,Montsià,Tarragona
26976,Vocal,dona,Montsià,Tarragona
26976,Vocal,dona,Montsià,Tarragona
26976,Tresorera,dona,Montsià,Tarragona
26976,Vocal,dona,Montsià,Tarragona
26976,Vocal,home,Montsià,Tarragona
27897,Vocal,dona,Montsià,Tarragona
27897,Tresorer,home,Montsià,Tarragona
27897,Vocal,home,Montsià,Tarragona
27897,Vocal,home,Montsià,Tarragona
27897,Vocal,dona,Montsià,Tarragona
27897,Secretària,dona,Montsià,Tarragona
27897,Vocal,dona,Montsià,Tarragona
27897,Vocal,dona,Montsià,Tarragona
27897,Presidenta,dona,Montsià,Tarragona
61800,Tresorera,dona,Vallès Occidental,Barcelona
61800,Presidenta,dona,Vallès Occidental,Barcelona
61800,Secretària,dona,Vallès Occidental,Barcelona
28273,Secretària,dona,Baix Ebre,Tarragona
28273,Presidenta,dona,Baix Ebre,Tarragona
28273,Vocal,home,Baix Ebre,Tarragona
28273,Tresorera,dona,Baix Ebre,Tarragona
28273,Vocal,dona,Baix Ebre,Tarragona
28273,Vocal,dona,Baix Ebre,Tarragona
77221,Vocal,home,Baix Llobregat,Barcelona
77221,Presidenta,dona,Baix Llobregat,Barcelona
77221,Vocal,dona,Baix Llobregat,Barcelona
77221,Vocal,dona,Baix Llobregat,Barcelona
77221,Tresorera,dona,Baix Llobregat,Barcelona
77221,Vocal,dona,Baix Llobregat,Barcelona
77221,Vocal,dona,Baix Llobregat,Barcelona
77221,Secretari,dona,Baix Llobregat,Barcelona
89452,Secretària,dona,Vallès Occidental,Barcelona
89452,Presidenta,dona,Vallès Occidental,Barcelona
89452,Tresorera,dona,Vallès Occidental,Barcelona
24635,Vocal,dona,Alt Urgell,Lleida
24635,Vicepresidenta,dona,Alt Urgell,Lleida
24635,Vocal,dona,Alt Urgell,Lleida
24635,Vocal,dona,Alt Urgell,Lleida
24635,Vocal,dona,Alt Urgell,Lleida
24635,Vocal,dona,Alt Urgell,Lleida
24635,Vocal,dona,Alt Urgell,Lleida
24635,Vocal,home,Alt Urgell,Lleida
24635,Secretària,dona,Alt Urgell,Lleida
24635,President,home,Alt Urgell,Lleida
24635,Vocal,home,Alt Urgell,Lleida
24635,Vocal,dona,Alt Urgell,Lleida
24635,Vocal,dona,Alt Urgell,Lleida
24635,Tresorera,dona,Alt Urgell,Lleida
24635,Vocal,dona,Alt Urgell,Lleida
24635,Vocal,dona,Alt Urgell,Lleida
24635,Vocal,dona,Alt Urgell,Lleida
24635,Vocal,dona,Alt Urgell,Lleida
24635,Vocal,home,Alt Urgell,Lleida
24635,Vocal,dona,Alt Urgell,Lleida
24635,Vocal,dona,Alt Urgell,Lleida
24635,Vocal,dona,Alt Urgell,Lleida
4211,Tresorera,dona,Vallès Occidental,Barcelona
4211,Secretària,dona,Vallès Occidental,Barcelona
4211,Vocal,dona,Vallès Occidental,Barcelona
4211,Presidenta,dona,Vallès Occidental,Barcelona
4211,Vocal,dona,Vallès Occidental,Barcelona
4211,Vocal,dona,Vallès Occidental,Barcelona
24772,Vocal,dona,Segrià,Lleida
24772,Vocal,dona,Segrià,Lleida
24772,Vicepresidenta,dona,Segrià,Lleida
24772,Vocal,dona,Segrià,Lleida
24772,Vocal,dona,Segrià,Lleida
24772,Vocal,dona,Segrià,Lleida
24772,Vocal,dona,Segrià,Lleida
24772,Vocal,dona,Segrià,Lleida
24772,Tresorera,dona,Segrià,Lleida
24772,Secretària,dona,Segrià,Lleida
24772,Presidenta,dona,Segrià,Lleida
24772,Vocal,dona,Segrià,Lleida
24772,Vocal,home,Segrià,Lleida
24772,Vocal,home,Segrià,Lleida
3920,Vicepresidenta,dona,Barcelonès,Barcelona
3920,Vocal 1r,dona,Barcelonès,Barcelona
3920,Tresorera,dona,Barcelonès,Barcelona
3920,Secretària,dona,Barcelonès,Barcelona
3920,Vocal 2n,dona,Barcelonès,Barcelona
3920,Vocal 4t,dona,Barcelonès,Barcelona
3920,President,home,Barcelonès,Barcelona
